ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible
XLRE,2015-10-08T00:00:00.000Z,20.8582863272,,168.4939570312,171.11302631772503,False
XLRE,2015-10-09T00:00:00.000Z,20.8237641717,,168.5944454505,171.098722669126,False
XLRE,2015-10-12T00:00:00.000Z,20.9548793182,,168.7535521144,171.0851320242795,False
XLRE,2015-10-13T00:00:00.000Z,20.8237641717,,167.690049677,171.063459126756,False
XLRE,2015-10-14T00:00:00.000Z,20.8237641717,,166.8861423227,171.036611278525,False
XLRE,2015-10-15T00:00:00.000Z,20.7616242919,,169.4485970144,171.027197359497,False
XLRE,2015-10-16T00:00:00.000Z,21.1565577503,,170.2190082289,171.030136041929,False
XLRE,2015-10-19T00:00:00.000Z,21.4036673391,,170.3027485783,171.033947338726,False
XLRE,2015-10-20T00:00:00.000Z,21.4244496767,,170.0850236699,171.051979245635,False
XLRE,2015-10-21T00:00:00.000Z,21.4417107544,,169.0298952674,171.072575819384,False
XLRE,2015-10-22T00:00:00.000Z,21.7127096747,,171.8435710073,171.09696584075752,False
XLRE,2015-10-23T00:00:00.000Z,21.452067401,,173.7779730785,171.116213815234,False
XLRE,2015-10-26T00:00:00.000Z,21.4796851254,,173.3341492266,171.14005135971746,False
XLRE,2015-10-27T00:00:00.000Z,21.4854158032,,172.9824397592,171.1687327222135,False
XLRE,2015-10-28T00:00:00.000Z,21.407188599,,174.96708604,171.2096894087695,False
XLRE,2015-10-29T00:00:00.000Z,21.5045410773,,174.9252158653,171.25547104803098,False
XLRE,2015-10-30T00:00:00.000Z,21.369214228,,174.121308511,171.304825870673,False
XLRE,2015-11-02T00:00:00.000Z,21.369214228,,176.1813211063,171.35371064781498,False
XLRE,2015-11-03T00:00:00.000Z,21.6453914716,,176.6921372377,171.40337511992652,False
XLRE,2015-11-04T00:00:00.000Z,21.5556338674,,176.1729470714,171.446234633296,False
XLRE,2015-11-05T00:00:00.000Z,21.4727806943,0.029460443559961913,175.9803442677,171.47566916805002,True
XLRE,2015-11-06T00:00:00.000Z,20.6787711188,-0.006962864720541195,175.8882298834,171.5093060514105,True
XLRE,2015-11-09T00:00:00.000Z,20.5130647726,-0.021084089241987125,174.2469190351,171.5327556709245,True
XLRE,2015-11-10T00:00:00.000Z,20.7340065675,-0.004310344828145074,174.6488727123,171.5693978151355,True
XLRE,2015-11-11T00:00:00.000Z,20.8057436066,-0.000865384613051301,173.9622018472,171.61333544871349,True
XLRE,2015-11-12T00:00:00.000Z,20.6787711188,-0.003990688393890385,171.5337317145,171.637496746693,True
XLRE,2015-11-13T00:00:00.000Z,20.4094983062,-0.03531101103105516,169.6077036783,171.66250915948353,True
XLRE,2015-11-16T00:00:00.000Z,20.388785013,-0.04741628198668668,172.1869064398,171.6902251845735,True
XLRE,2015-11-17T00:00:00.000Z,20.7063888432,-0.0335159523038262,172.0612959157,171.70526384028003,True
XLRE,2015-11-18T00:00:00.000Z,20.9513580583,-0.02286910320340818,174.7912313062,171.737170826047,True
XLRE,2015-11-19T00:00:00.000Z,21.0654192599,-0.029811590745591476,174.6404986773,171.75982360328203,True
XLRE,2015-11-20T00:00:00.000Z,21.2380300372,-0.009977470226949836,175.2769253328,171.78801060644997,True
XLRE,2015-11-23T00:00:00.000Z,21.3485009347,-0.006107360975458387,175.0759484942,171.818989085501,True
XLRE,2015-11-24T00:00:00.000Z,21.0239926734,-0.021476108911575142,175.3104214725,171.842144206655,True
XLRE,2015-11-25T00:00:00.000Z,21.0239926734,-0.017900338656235415,175.2852993677,171.8646785398835,True
XLRE,2015-11-27T00:00:00.000Z,21.0239926734,-0.022346368712200304,175.4862762063,171.880006065402,True
XLRE,2015-11-30T00:00:00.000Z,21.2311256061,-0.006462035544529399,174.7577351665,171.888142114346,True
XLRE,2015-12-01T00:00:00.000Z,21.5822849714,0.009970920836237962,176.4241681196,171.90324859020203,True
XLRE,2015-12-02T00:00:00.000Z,21.1413680019,-0.023285486444599934,174.6237506074,171.90927044893,True
XLRE,2015-12-03T00:00:00.000Z,20.7201977054,-0.03875720691579776,172.1785324049,171.903685188397,True
XLRE,2015-12-04T00:00:00.000Z,21.1413680019,-0.01543408360184928,175.5365204159,171.9096905052065,True
XLRE,2015-12-07T00:00:00.000Z,21.1413680019,0.022370617694947637,174.4730179785,171.9105021041795,True
XLRE,2015-12-08T00:00:00.000Z,21.2104123128,0.03399528778027694,173.3006530869,171.902975991688,True
XLRE,2015-12-09T00:00:00.000Z,21.0930369843,0.01731601731827226,171.9524334615,171.8894515471715,True
XLRE,2015-12-10T00:00:00.000Z,20.920426207,0.0055120644841368804,172.3962573134,171.8791778415005,True
XLRE,2015-12-11T00:00:00.000Z,20.8087125119,0.006283806341947695,169.0550173722,171.8551690005305,True
XLRE,2015-12-14T00:00:00.000Z,20.8729237211,0.022706359948065025,169.9091689361,171.8299427011835,True
XLRE,2015-12-15T00:00:00.000Z,21.1137502776,0.03555706061630248,171.6928383784,171.8172247852065,True
XLRE,2015-12-16T00:00:00.000Z,21.4934939876,0.03801267088918259,174.2050488604,171.8207404873655,True
XLRE,2015-12-17T00:00:00.000Z,21.4658762632,0.024557749596388234,171.5504797844,171.81003422524,True
XLRE,2015-12-18T00:00:00.000Z,21.1897328513,0.005901311047563196,168.5120030765,171.796349984357,True
XLRE,2015-12-21T00:00:00.000Z,21.2246418016,-0.0006303897101826994,169.9020880934,171.786067397183,True
XLRE,2015-12-22T00:00:00.000Z,21.4201319235,0.0033553170322873083,171.4438187485,171.7974409600855,True
XLRE,2015-12-23T00:00:00.000Z,21.6295856255,0.028804849845015745,173.5668576834,171.82141042726752,True
XLRE,2015-12-24T00:00:00.000Z,21.6505309957,0.02980111019029752,173.2804159223,171.833218841951,True
XLRE,2015-12-28T00:00:00.000Z,21.5927217739,0.027051431635036982,172.8844523114,171.84828806607598,True
XLRE,2015-12-29T00:00:00.000Z,21.9507479685,0.03389468725074285,174.7294742429,171.86123458441398,True
XLRE,2015-12-30T00:00:00.000Z,21.9506781506,0.01706923894704304,173.4910348643,171.870547322432,True
XLRE,2015-12-31T00:00:00.000Z,21.7720141428,0.029829959009432416,171.7555347826,171.86086636418298,True
XLRE,2016-01-04T00:00:00.000Z,21.266532542,0.02636725982868482,169.3544822142,171.8431415623015,True
XLRE,2016-01-05T00:00:00.000Z,21.9109517651,0.036401795907002654,169.6409214479,171.819252893989,True
XLRE,2016-01-06T00:00:00.000Z,21.6994035261,0.0263954311825918,167.5010380525,171.78636414923952,True
XLRE,2016-01-07T00:00:00.000Z,21.3014414923,0.004291721356358025,163.4824252702,171.73827312554647,True
XLRE,2016-01-08T00:00:00.000Z,21.0221698897,-0.0033597387921306954,161.6879476723,171.69389259691698,True
XLRE,2016-01-11T00:00:00.000Z,21.147772293,0.010867182329389102,161.8480205957,171.6523433520865,True
XLRE,2016-01-12T00:00:00.000Z,20.9174430387,0.005225240472605863,163.1538605632,171.615375282572,True
XLRE,2016-01-13T00:00:00.000Z,20.7010075466,-0.008236324570391362,159.0847009197,171.54765813494998,True
XLRE,2016-01-14T00:00:00.000Z,20.7708254473,-0.016241777315317507,161.6963682176,171.500542737921,True
XLRE,2016-01-15T00:00:00.000Z,20.421735944,-0.0498643005282583,158.2253722667,171.439098016245,True
XLRE,2016-01-19T00:00:00.000Z,20.5613717453,-0.042136855109457305,158.4359912086,171.375639286841,True
XLRE,2016-01-20T00:00:00.000Z,20.0098103301,-0.05568369027963527,156.4056212383,171.296267528682,True
XLRE,2016-01-21T00:00:00.000Z,20.1634097115,-0.05000000000094229,157.2818027766,171.223556281378,True
XLRE,2016-01-22T00:00:00.000Z,20.5823171155,-0.03911342894582437,160.5084866523,171.1640771403355,True
XLRE,2016-01-25T00:00:00.000Z,20.5823171155,-0.048418334411609365,158.0821522286,171.0886531727925,True
XLRE,2016-01-26T00:00:00.000Z,20.7653796511,-0.040883585939568756,160.2388885092,171.01928789100552,True
XLRE,2016-01-27T00:00:00.000Z,20.5823171155,-0.04679376083200948,158.4949704097,170.94514051509353,True
XLRE,2016-01-28T00:00:00.000Z,20.3588998334,-0.07251908396854412,159.3205932922,170.87346336038453,True
XLRE,2016-01-29T00:00:00.000Z,20.3798452036,-0.07156193244795339,163.2044065818,170.817309223081,True
XLRE,2016-02-01T00:00:00.000Z,20.8127161877,-0.04406105695174001,163.1454273807,170.7611088737535,True
XLRE,2016-02-02T00:00:00.000Z,20.5474081652,-0.033814839131850793,160.2051953759,170.70023761832,True
XLRE,2016-02-03T00:00:00.000Z,20.5683535354,-0.06127521269242642,161.1656169087,170.636293477805,True
XLRE,2016-02-04T00:00:00.000Z,20.6915821301,-0.04644465894132965,161.4183621665,170.574649246835,True
XLRE,2016-02-05T00:00:00.000Z,20.315612735,-0.046279908223880395,158.3433180317,170.4933607201765,True
XLRE,2016-02-08T00:00:00.000Z,19.2390207068,-0.08482231816486585,156.2118551816,170.39921817076498,True
XLRE,2016-02-09T00:00:00.000Z,19.0882140413,-0.09738889861140232,156.2202757269,170.30308680489802,True
XLRE,2016-02-10T00:00:00.000Z,19.4931578652,-0.06809078771553889,156.0854888713,170.209928869814,True
XLRE,2016-02-11T00:00:00.000Z,19.0044325605,-0.08195615514273125,154.0551197435,170.103842117965,True
XLRE,2016-02-12T00:00:00.000Z,19.1929408923,-0.07596638655519139,157.231256758,170.0172419689195,True
XLRE,2016-02-16T00:00:00.000Z,19.1929408923,-0.06017094017225433,159.8850503717,169.9526561746225,True
XLRE,2016-02-17T00:00:00.000Z,19.793374838,-0.037351443124194916,162.4967303068,169.89176168336752,True
XLRE,2016-02-18T00:00:00.000Z,20.0377374903,0.0013956734091573608,161.8311668679,169.8250525351035,True
XLRE,2016-02-19T00:00:00.000Z,20.0098103301,-0.00761772852894016,161.7553474187,169.767994543511,True
XLRE,2016-02-22T00:00:00.000Z,20.317009093,-0.012890094978674882,164.0974292107,169.726211431279,True
XLRE,2016-02-23T00:00:00.000Z,20.212282242,-0.017978290365633143,162.0249455618,169.670625772393,True
XLRE,2016-02-24T00:00:00.000Z,20.2290385382,-0.0258286206133288,162.7663158127,169.60734894894603,True
XLRE,2016-02-25T00:00:00.000Z,20.3588998334,-0.010854816823891555,164.7377057394,169.55811525548648,True
XLRE,2016-02-26T00:00:00.000Z,20.5055174248,0.0072016460908888025,164.3585941713,169.5095971859915,True
XLRE,2016-02-29T00:00:00.000Z,20.4775902645,0.0047961630681443435,163.0696079315,169.4544683959765,True
XLRE,2016-03-01T00:00:00.000Z,20.9663155692,0.007380073802705889,166.9028752025,169.40942897699398,True
XLRE,2016-03-02T00:00:00.000Z,21.1967146414,0.03160040774873463,167.6526777934,169.36718528237049,True
