ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible
XLP,1998-12-22T00:00:00.000Z,13.9297954163,,74.7607704945,67.8179624918305,False
XLP,1998-12-23T00:00:00.000Z,14.2662131169,,76.328739323,67.8722361675595,False
XLP,1998-12-24T00:00:00.000Z,14.239930484,,75.9996853862,67.9235268093625,False
XLP,1998-12-28T00:00:00.000Z,14.1610825854,,75.8061049343,67.97509192061949,False
XLP,1998-12-29T00:00:00.000Z,14.4712176532,,77.0063037357,68.02912234404101,False
XLP,1998-12-30T00:00:00.000Z,14.3818567015,,76.3868462898,68.07909993434599,False
XLP,1998-12-31T00:00:00.000Z,14.27672617,,76.3868462898,68.12783547705851,False
XLP,1999-01-04T00:00:00.000Z,14.1610825854,,76.2125910519,68.174839590223,False
XLP,1999-01-05T00:00:00.000Z,14.2662131169,,77.0837359164,68.223329973864,False
XLP,1999-01-06T00:00:00.000Z,14.4396784938,,78.9421082539,68.2818788364755,False
XLP,1999-01-07T00:00:00.000Z,14.27672617,,78.5549473502,68.335617079757,False
XLP,1999-01-08T00:00:00.000Z,14.2189043777,,79.1356887057,68.393504945424,False
XLP,1999-01-11T00:00:00.000Z,13.9297954163,,78.3806921124,68.447809482445,False
XLP,1999-01-12T00:00:00.000Z,13.8246648848,,76.9675876453,68.4964857420135,False
XLP,1999-01-13T00:00:00.000Z,13.8456909911,,76.4255623802,68.5426435295775,False
XLP,1999-01-14T00:00:00.000Z,13.5828646625,,75.0898244313,68.580972701472,False
XLP,1999-01-15T00:00:00.000Z,13.7353039331,,77.045019826,68.626346846798,False
XLP,1999-01-19T00:00:00.000Z,13.5776081359,,77.5483290008,68.67054828431701,False
XLP,1999-01-20T00:00:00.000Z,13.6196603485,,78.1677864466,68.7161221201775,False
XLP,1999-01-21T00:00:00.000Z,13.4146558122,,76.0964427808,68.75411806283749,False
XLP,1999-01-22T00:00:00.000Z,13.3463209667,-0.04188679245907978,75.9222532054,68.79354290947,True
XLP,1999-01-25T00:00:00.000Z,13.3147818073,-0.06669123065832505,76.6965750127,68.838755908347,True
XLP,1999-01-26T00:00:00.000Z,13.6249168751,-0.04318936876770785,78.0903542659,68.888254642999,True
XLP,1999-01-27T00:00:00.000Z,13.8088953051,-0.02487008166050131,77.1804933111,68.934162344481,True
XLP,1999-01-28T00:00:00.000Z,14.0506955274,-0.029059208138370485,78.4775151695,68.983680340443,True
XLP,1999-01-29T00:00:00.000Z,14.0874912134,-0.02046783626131521,79.0775817389,69.03524039764801,True
XLP,1999-02-01T00:00:00.000Z,14.0296694211,-0.01730486008894294,78.6129886545,69.0885022301675,True
XLP,1999-02-02T00:00:00.000Z,14.1453130057,-0.0011135857449386943,78.1290703562,69.13484075718,True
XLP,1999-02-03T00:00:00.000Z,14.09274774,-0.012159174651226068,78.9227173775,69.1852431839365,True
XLP,1999-02-04T00:00:00.000Z,14.0296694211,-0.02839461230913476,77.7419094526,69.228112671865,True
XLP,1999-02-05T00:00:00.000Z,13.8141518317,-0.032400589098081745,76.8514393742,69.2655715377975,True
XLP,1999-02-08T00:00:00.000Z,13.7878691988,-0.03031423290081392,77.0063037357,69.30715851362851,True
