ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition,momentum_signal,positive_regime,group_A,group_B,group_C,group_D
IWM,2000-06-26T00:00:00.000Z,36.8128498794,0.1281542714841079,92.0083180605,88.1480612615365,True,discovery,True,True,True,True,True,True
IWM,2000-06-27T00:00:00.000Z,36.205848475,0.0701135238644279,91.3299976641,88.184428455993,True,discovery,True,True,True,True,True,True
IWM,2000-06-28T00:00:00.000Z,37.1342035641,0.0867774058803187,91.5856327091,88.224847391833,True,discovery,True,True,True,True,True,True
IWM,2000-06-29T00:00:00.000Z,36.5629081247,0.0529034004305253,90.7205043623,88.2675585478235,True,discovery,True,True,True,True,True,True
IWM,2000-06-30T00:00:00.000Z,36.9199677743,0.0103378573631207,91.4086456957,88.31210470230201,True,discovery,False,True,True,False,True,False
IWM,2000-07-03T00:00:00.000Z,37.4198512838,0.0280332350145013,92.6670142,88.357744566549,True,discovery,False,True,True,False,True,False
IWM,2000-07-05T00:00:00.000Z,36.9913797043,0.0063952420763988,90.9957724726,88.39561377618698,True,discovery,False,True,True,False,True,False
IWM,2000-07-06T00:00:00.000Z,37.4198512838,0.0170648881816384,91.7036047563,88.445805457666,True,discovery,False,True,True,False,True,False
IWM,2000-07-07T00:00:00.000Z,37.6697930386,0.025848266863673,93.1782264049,88.50380965025401,True,discovery,False,True,True,False,True,False
IWM,2000-07-10T00:00:00.000Z,37.9197347934,0.0149014646541179,93.0209303419,88.5695664547595,True,discovery,False,True,True,False,True,False
IWM,2000-07-11T00:00:00.000Z,37.8840288284,0.0448831366076778,93.2175504207,88.636696729011,True,discovery,False,True,True,False,True,False
IWM,2000-07-12T00:00:00.000Z,38.6338540927,0.0521022035520388,93.8271016075,88.704239909726,True,discovery,True,True,True,True,True,True
IWM,2000-07-13T00:00:00.000Z,38.7409719876,0.0601707690915933,94.2399748305,88.77462819526001,True,discovery,True,True,True,True,True,True
IWM,2000-07-14T00:00:00.000Z,38.7766779525,0.0601126187773111,95.1641181434,88.854419078266,True,discovery,True,True,True,True,True,True
IWM,2000-07-17T00:00:00.000Z,38.9195018124,0.0702823366438378,95.0068220803,88.927372755999,True,discovery,True,True,True,True,True,True
IWM,2000-07-18T00:00:00.000Z,38.241088478,0.0254611806440681,94.2301532643,88.99732156435,True,discovery,False,True,True,False,True,False
IWM,2000-07-19T00:00:00.000Z,37.5983811087,0.001517807232598,93.4731854656,89.0563611493755,True,discovery,False,True,True,False,True,False
IWM,2000-07-20T00:00:00.000Z,38.2053825131,0.0122989593201228,94.7708779858,89.122279566354,True,discovery,False,True,True,False,True,False
IWM,2000-07-21T00:00:00.000Z,37.1699095291,0.0156097560989978,92.922649245,89.17271092999499,True,discovery,False,True,True,False,True,False
IWM,2000-07-24T00:00:00.000Z,36.5986140896,0.0068762278962253,92.3917460897,89.22282999397201,True,discovery,False,True,True,False,True,False
IWM,2000-07-25T00:00:00.000Z,36.7057319845,-0.0029097963143555,92.6867051504,89.268177943619,True,discovery,False,True,True,False,True,False
IWM,2000-07-26T00:00:00.000Z,36.6343200546,0.0118343195270194,91.7822527879,89.30968692147549,True,discovery,False,True,True,False,True,False
IWM,2000-07-27T00:00:00.000Z,35.6167000531,-0.0408653846144977,91.4676606618,89.35606403301149,True,discovery,False,True,True,False,True,False
IWM,2000-07-28T00:00:00.000Z,34.9918456662,-0.0429687500004594,89.4031208918,89.4027558668865,True,discovery,False,True,True,False,True,False
IWM,2000-07-31T00:00:00.000Z,35.8844947903,-0.0280464216634768,89.9733480628,89.45239657261,True,discovery,False,True,True,False,True,False
IWM,2000-08-01T00:00:00.000Z,35.6488354216,-0.0473282442724918,90.5238842835,89.515037011274,True,discovery,False,True,True,False,True,False
IWM,2000-08-02T00:00:00.000Z,35.7059649655,-0.0347490347501306,90.9760815223,89.577108423846,True,discovery,False,True,True,False,True,False
IWM,2000-08-03T00:00:00.000Z,35.6845413865,-0.0463740458009585,91.6052657745,89.6385194909795,True,discovery,False,True,True,False,True,False
IWM,2000-08-04T00:00:00.000Z,35.8487888254,-0.0483412322264161,92.096844914,89.698484760289,True,discovery,False,True,True,False,True,False
IWM,2000-08-07T00:00:00.000Z,36.5272021597,-0.03672316384297,93.1979173553,89.76161317569249,True,discovery,False,True,True,False,True,False
IWM,2000-08-08T00:00:00.000Z,36.3486723349,-0.0405278039580891,93.5518334971,89.82309558363,True,discovery,False,True,True,False,True,False
IWM,2000-08-09T00:00:00.000Z,36.0987305801,-0.0656192236611209,92.7653531819,89.88269488543399,True,discovery,False,True,True,False,True,False
IWM,2000-08-10T00:00:00.000Z,35.8844947903,-0.0737327188954959,92.3130980582,89.94510771319702,True,discovery,False,True,True,False,True,False
IWM,2000-08-11T00:00:00.000Z,36.5272021597,-0.0580110497231228,92.7456622316,90.002461528813,True,discovery,False,True,True,False,True,False
IWM,2000-08-14T00:00:00.000Z,36.8842618094,-0.0522935779807838,93.9253827044,90.05185583479351,True,discovery,False,True,True,False,True,False
IWM,2000-08-15T00:00:00.000Z,36.3486723349,-0.0494864612493627,93.8467346729,90.09324469825049,True,discovery,False,True,True,False,True,False
IWM,2000-08-16T00:00:00.000Z,36.5629081247,-0.0275403608736867,93.5125094814,90.137451683299,True,discovery,False,True,True,False,True,False
IWM,2000-08-17T00:00:00.000Z,36.8842618094,-0.0345794392517077,94.4956098754,90.18959967645247,True,discovery,False,True,True,False,True,False
IWM,2000-08-18T00:00:00.000Z,36.8128498794,-0.0096061479358852,94.1810177493,90.23734438751652,True,discovery,False,True,True,False,True,False
IWM,2000-08-21T00:00:00.000Z,36.9556737393,0.0097560975622152,94.6922299542,90.284424756106,True,discovery,False,True,True,False,True,False
IWM,2000-08-22T00:00:00.000Z,36.8842618094,0.0048638132315517,94.5349338912,90.3265220301895,True,discovery,False,True,True,False,True,False
IWM,2000-08-23T00:00:00.000Z,36.8485558444,0.0058479532165658,94.9084830985,90.3700966809575,True,discovery,False,True,True,False,True,False
IWM,2000-08-24T00:00:00.000Z,37.3841453189,0.0496240601505746,95.2034421591,90.419196305868,True,discovery,False,True,True,False,True,False
IWM,2000-08-25T00:00:00.000Z,37.5269691787,0.0724489795903728,95.1641181434,90.4649276065585,True,discovery,True,True,True,True,True,True
IWM,2000-08-28T00:00:00.000Z,37.5983811087,0.0477611940314479,95.4885217687,90.509840973269,True,discovery,False,True,True,False,True,False
IWM,2000-08-29T00:00:00.000Z,37.9554407583,0.0647035256389443,95.5081554633,90.5509488149315,True,discovery,True,True,True,True,True,True
IWM,2000-08-30T00:00:00.000Z,37.9911467233,0.0640000000002238,94.5938909724,90.586460711402,True,discovery,True,True,True,True,True,True
IWM,2000-08-31T00:00:00.000Z,38.3839123379,0.075645387232613,95.8522594767,90.624604640906,True,discovery,True,True,True,True,True,True
IWM,2000-09-01T00:00:00.000Z,38.7052660226,0.0796812748991981,95.9505984586,90.6620691572635,True,discovery,True,True,True,True,True,True
IWM,2000-09-05T00:00:00.000Z,38.4196183029,0.0518084066479056,95.1837512088,90.692576482555,True,discovery,True,True,True,True,True,True
IWM,2000-09-06T00:00:00.000Z,38.276794443,0.0530451866394228,94.1023697178,90.71806726974351,True,discovery,True,True,True,True,True,True
IWM,2000-09-07T00:00:00.000Z,38.8480898825,0.0761622156296992,94.9084830985,90.7476863598295,True,discovery,True,True,True,True,True,True
IWM,2000-09-08T00:00:00.000Z,38.1696765481,0.0636815920400726,94.2596657809,90.7779650568485,True,discovery,True,True,True,True,True,True
IWM,2000-09-11T00:00:00.000Z,38.2053825131,0.0459433040084167,94.1220027832,90.80521322276648,True,discovery,False,True,True,False,True,False
IWM,2000-09-12T00:00:00.000Z,38.0982646182,0.0329138431744513,93.4338614499,90.83067960810853,True,discovery,False,True,True,False,True,False
IWM,2000-09-13T00:00:00.000Z,38.276794443,0.0530451866394228,93.6796170437,90.858936248828,True,discovery,True,True,True,True,True,True
IWM,2000-09-14T00:00:00.000Z,38.4910302328,0.0527343749989475,94.1515052328,90.8947248680645,True,discovery,True,True,True,True,True,True
