ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition,momentum_signal,positive_regime,group_A,group_B,group_C,group_D
XLI,1999-01-22T00:00:00.000Z,14.3915579358,0.0107388316147039,75.9222532054,68.79354290947,True,discovery,False,True,True,False,True,False
XLI,1999-01-25T00:00:00.000Z,14.6300920452,0.0097087378659537,76.6965750127,68.838755908347,True,discovery,False,True,True,False,True,False
XLI,1999-01-26T00:00:00.000Z,14.6300920452,-0.0033333333313123,78.0903542659,68.888254642999,True,discovery,False,True,True,False,True,False
XLI,1999-01-27T00:00:00.000Z,14.7463009703,-0.0008288437675249,77.1804933111,68.934162344481,True,discovery,False,True,True,False,True,False
XLI,1999-01-28T00:00:00.000Z,14.764649748,-0.0134859011010272,78.4775151695,68.983680340443,True,discovery,False,True,True,False,True,False
XLI,1999-01-29T00:00:00.000Z,14.8625098954,-0.0024630541873739,79.0775817389,69.03524039764801,True,discovery,False,True,True,False,True,False
XLI,1999-02-01T00:00:00.000Z,14.8808586731,-0.0093648208420644,78.6129886545,69.0885022301675,True,discovery,False,True,True,False,True,False
XLI,1999-02-02T00:00:00.000Z,14.764649748,-0.0033030553241643,78.1290703562,69.13484075718,True,discovery,False,True,True,False,True,False
XLI,1999-02-03T00:00:00.000Z,14.9114399692,-0.0137540453040346,78.9227173775,69.1852431839365,True,discovery,False,True,True,False,True,False
XLI,1999-02-04T00:00:00.000Z,14.9297887468,-0.0332673267350068,77.7419094526,69.228112671865,True,discovery,False,True,True,False,True,False
XLI,1999-02-05T00:00:00.000Z,14.8808586731,-0.0279664402693592,76.8514393742,69.2655715377975,True,discovery,False,True,True,False,True,False
XLI,1999-02-08T00:00:00.000Z,14.9297887468,-0.0321173671680318,77.0063037357,69.30715851362851,True,discovery,False,True,True,False,True,False
XLI,1999-02-09T00:00:00.000Z,14.7279521927,-0.0360288230545741,75.2834048832,69.3437724272915,True,discovery,False,True,True,False,True,False
XLI,1999-02-10T00:00:00.000Z,14.7829985256,-0.0210611583673817,75.767388844,69.389226843028,True,discovery,False,True,True,False,True,False
XLI,1999-02-11T00:00:00.000Z,14.9848350798,0.0182876143034866,77.5096129104,69.44387135237551,True,discovery,False,True,True,False,True,False
XLI,1999-02-12T00:00:00.000Z,14.8992074507,0.0171189979078165,76.5804267416,69.4915700790295,True,discovery,False,True,True,False,True,False
XLI,1999-02-16T00:00:00.000Z,14.9726025613,0.0049261083747478,76.1158336573,69.53071723735951,True,discovery,False,True,True,False,True,False
XLI,1999-02-17T00:00:00.000Z,14.9726025613,0.0069930069946531,76.0384014765,69.5656441483695,True,discovery,False,True,True,False,True,False
