ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition,momentum_signal,positive_regime,group_A,group_B,group_C,group_D
XLU,1999-01-22T00:00:00.000Z,5.8417406028,0.022803487579573,75.9222532054,68.79354290947,True,discovery,False,True,True,False,True,False
XLU,1999-01-25T00:00:00.000Z,5.623393577,-0.0114478114503447,76.6965750127,68.838755908347,True,discovery,False,True,True,False,True,False
XLU,1999-01-26T00:00:00.000Z,5.7344824147,-0.010247933880526,78.0903542659,68.888254642999,True,discovery,False,True,True,False,True,False
XLU,1999-01-27T00:00:00.000Z,5.6463774745,-0.0202725157762587,77.1804933111,68.934162344481,True,discovery,False,True,True,False,True,False
XLU,1999-01-28T00:00:00.000Z,5.6559540984,-0.0346518470075486,78.4775151695,68.983680340443,True,discovery,False,True,True,False,True,False
XLU,1999-01-29T00:00:00.000Z,5.6463774745,-0.0283454185805068,79.0775817389,69.03524039764801,True,discovery,False,True,True,False,True,False
XLU,1999-02-01T00:00:00.000Z,5.6348855258,-0.0267945749231596,78.6129886545,69.0885022301675,True,discovery,False,True,True,False,True,False
XLU,1999-02-02T00:00:00.000Z,5.560187859,-0.0242016806856244,78.1290703562,69.13484075718,True,discovery,False,True,True,False,True,False
XLU,1999-02-03T00:00:00.000Z,5.5908330556,-0.0305546330159912,78.9227173775,69.1852431839365,True,discovery,False,True,True,False,True,False
XLU,1999-02-04T00:00:00.000Z,5.506558765,-0.0548980933487707,77.7419094526,69.228112671865,True,discovery,False,True,True,False,True,False
XLU,1999-02-05T00:00:00.000Z,5.5103894146,-0.0508083140834236,76.8514393742,69.2655715377975,True,discovery,False,True,True,False,True,False
XLU,1999-02-08T00:00:00.000Z,5.5103894146,-0.0561023622015379,77.0063037357,69.30715851362851,True,discovery,False,True,True,False,True,False
XLU,1999-02-09T00:00:00.000Z,5.533373312,-0.0262891809995294,75.2834048832,69.3437724272915,True,discovery,False,True,True,False,True,False
XLU,1999-02-10T00:00:00.000Z,5.4950668162,-0.0336813742034552,75.767388844,69.389226843028,True,discovery,False,True,True,False,True,False
XLU,1999-02-11T00:00:00.000Z,5.5180507137,-0.0361324857838567,77.5096129104,69.44387135237551,True,discovery,False,True,True,False,True,False
XLU,1999-02-12T00:00:00.000Z,5.4280304487,-0.0357264375600676,76.5804267416,69.4915700790295,True,discovery,False,True,True,False,True,False
