ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition,momentum_signal,positive_regime,group_A,group_B,group_C,group_D
XLC,2018-07-18T00:00:00.000Z,47.5362478666,0.0288230584457593,248.6694707645,235.5149372555595,True,discovery,False,True,True,False,True,False
XLC,2018-07-19T00:00:00.000Z,47.2033091656,0.0090945037561143,247.7316295953,235.6523926557615,True,discovery,False,True,True,False,True,False
XLC,2018-07-20T00:00:00.000Z,47.0460881123,0.0119355480401828,247.4485077329,235.786075719148,True,discovery,False,True,True,False,True,False
XLC,2018-07-23T00:00:00.000Z,47.2403023546,0.0116854822744003,247.9085807593,235.9207498546085,True,discovery,False,True,True,False,True,False
XLC,2018-07-24T00:00:00.000Z,47.5732410556,0.0402426693627222,249.1560864655,236.05511505331148,True,discovery,False,True,True,False,True,False
XLC,2018-07-25T00:00:00.000Z,47.9154280539,0.0459904708085197,251.2795004334,236.20136297180952,True,discovery,False,True,True,False,True,False
XLC,2018-07-26T00:00:00.000Z,46.1083107711,0.0153971486756625,250.6867140341,236.346479968592,True,discovery,False,True,True,False,True,False
XLC,2018-07-27T00:00:00.000Z,45.2334218513,-0.0137124420241382,248.9879828597,236.48017922167352,True,discovery,False,True,True,False,True,False
XLC,2018-07-30T00:00:00.000Z,44.521302963,-0.028063799717485,247.6873918043,236.605629795401,True,discovery,False,True,True,False,True,False
XLC,2018-07-31T00:00:00.000Z,44.817248475,-0.027688603530399,248.9083548359,236.73884362215952,True,discovery,False,True,True,False,True,False
XLC,2018-08-01T00:00:00.000Z,44.63228253,-0.0197034328665659,248.4925196005,236.8686253365815,True,discovery,False,True,True,False,True,False
XLC,2018-08-02T00:00:00.000Z,44.928228042,-0.0280092597230239,249.8461960051,237.003691567561,True,discovery,False,True,True,False,True,False
XLC,2018-08-03T00:00:00.000Z,45.2334218513,-0.0366358085471458,250.9167505473,237.14332499541692,True,discovery,False,True,True,False,True,False
XLC,2018-08-06T00:00:00.000Z,45.6865884165,-0.0325107716422224,251.8368966,237.286468075988,True,discovery,False,True,True,False,True,False
XLC,2018-08-07T00:00:00.000Z,45.7420782,-0.0309371265126824,252.6685670708,237.43346400719952,True,discovery,False,True,True,False,True,False
XLC,2018-08-08T00:00:00.000Z,45.705085011,-0.0304100451246438,252.5623963724,237.57416819546492,True,discovery,False,True,True,False,True,False
XLC,2018-08-09T00:00:00.000Z,45.9547890368,-0.0401777090986371,252.2173416026,237.717511420074,True,discovery,False,True,True,False,True,False
XLC,2018-08-10T00:00:00.000Z,45.5663605523,-0.0468175662608745,250.5274579865,237.850441287016,True,discovery,False,True,True,False,True,False
XLC,2018-08-13T00:00:00.000Z,45.5016224715,-0.0454016298026694,249.5896168173,237.9842246220565,True,discovery,False,True,True,False,True,False
