ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition,momentum_signal,positive_regime,group_A,group_B,group_C,group_D
SPY,1993-11-11T00:00:00.000Z,25.901839521,-0.0093457943920228,25.901839521,25.0191355595795,True,discovery,False,True,True,False,True,False
SPY,1993-11-12T00:00:00.000Z,26.0239900828,-0.0099612217764238,26.0239900828,25.028750920712,True,discovery,False,True,True,False,True,False
SPY,1993-11-15T00:00:00.000Z,26.0065639395,-0.0079893475367447,26.0065639395,25.037422077235497,True,discovery,False,True,True,False,True,False
SPY,1993-11-16T00:00:00.000Z,26.1287145013,0.0040241491856858,26.1287145013,25.046447001532503,True,discovery,False,True,True,False,True,False
SPY,1993-11-17T00:00:00.000Z,25.9890819433,-0.0026791723274107,25.9890819433,25.053488015068503,True,discovery,False,True,True,False,True,False
SPY,1993-11-18T00:00:00.000Z,25.9192656642,-0.0040241491895286,25.9192656642,25.059665702874,True,discovery,False,True,True,False,True,False
SPY,1993-11-19T00:00:00.000Z,25.8669313815,-0.0013477088942543,25.8669313815,25.065667563787,True,discovery,False,True,True,False,True,False
SPY,1993-11-22T00:00:00.000Z,25.7098168271,-0.0100817204307782,25.7098168271,25.070883851928,True,discovery,False,True,True,False,True,False
SPY,1993-11-23T00:00:00.000Z,25.8494493852,-0.004034974077467,25.8494493852,25.077655376752,True,discovery,False,True,True,False,True,False
SPY,1993-11-24T00:00:00.000Z,25.9541738037,-0.0006731182807373,25.9541738037,25.08477910889,True,discovery,False,True,True,False,True,False
SPY,1993-11-26T00:00:00.000Z,25.9716558,-0.0073371659359068,25.9716558,25.091390162153,True,discovery,False,True,True,False,True,False
SPY,1993-11-29T00:00:00.000Z,25.8669313815,-0.0113398386520578,25.8669313815,25.098420511737004,True,discovery,False,True,True,False,True,False
SPY,1993-11-30T00:00:00.000Z,25.8843575247,-0.0133067340605197,25.8843575247,25.108623458049497,True,discovery,False,True,True,False,True,False
SPY,1993-12-01T00:00:00.000Z,25.9192656642,-0.0113193075899349,25.9192656642,25.119086515317004,True,discovery,False,True,True,False,True,False
SPY,1993-12-02T00:00:00.000Z,25.9890819433,0.0040458573677197,25.9890819433,25.129984498501,True,discovery,False,True,True,False,True,False
SPY,1993-12-03T00:00:00.000Z,26.0938063618,0.0190865920497851,26.0938063618,25.1409774296995,True,discovery,False,True,True,False,True,False
SPY,1993-12-06T00:00:00.000Z,26.1811046371,0.0176390773401846,26.1811046371,25.15197845246,True,discovery,False,True,True,False,True,False
SPY,1993-12-07T00:00:00.000Z,26.1636226408,0.0155815718147935,26.1636226408,25.1629776354965,True,discovery,False,True,True,False,True,False
SPY,1993-12-08T00:00:00.000Z,26.1636226408,0.0148950736815431,26.1636226408,25.172434085526497,True,discovery,False,True,True,False,True,False
SPY,1993-12-09T00:00:00.000Z,26.0763802186,0.0040322580665033,26.0763802186,25.18119733841,True,discovery,False,True,True,False,True,False
SPY,1993-12-10T00:00:00.000Z,26.0239900828,0.0047159029651531,26.0239900828,25.189527225836,True,discovery,False,True,True,False,True,False
SPY,1993-12-13T00:00:00.000Z,26.1811046371,0.0060372968864539,26.1811046371,25.198985515590504,True,discovery,False,True,True,False,True,False
SPY,1993-12-14T00:00:00.000Z,25.9890819433,-0.0006722147624218,25.9890819433,25.20568369957,True,discovery,False,True,True,False,True,False
SPY,1993-12-15T00:00:00.000Z,25.9541738037,-0.006680033860499,25.9541738037,25.211693098516,True,discovery,False,True,True,False,True,False
SPY,1993-12-16T00:00:00.000Z,26.041472079,0.0020158517262862,26.041472079,25.2188246479525,True,discovery,False,True,True,False,True,False
SPY,1993-12-17T00:00:00.000Z,26.1669956049,0.0095577530594226,26.1669956049,25.226926644575,True,discovery,False,True,True,False,True,False
