ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition,momentum_signal,positive_regime,group_A,group_B,group_C,group_D,signal_date,entry_date,entry_open,exit_date_1d,return_1d,mae_1d,mfe_1d,horizon_1d_available,exit_date_3d,return_3d,mae_3d,mfe_3d,horizon_3d_available,exit_date_5d,return_5d,mae_5d,mfe_5d,horizon_5d_available,exit_date_10d,return_10d,mae_10d,mfe_10d,horizon_10d_available,exit_date_20d,return_20d,mae_20d,mfe_20d,horizon_20d_available
XLRE,2015-11-05T00:00:00.000Z,21.4727806943,0.0294604435599619,175.9803442677,171.47566916805002,True,discovery,False,True,True,False,True,False,2015-11-05T00:00:00.000Z,2015-11-06T00:00:00.000Z,20.9756616557,2015-11-06T00:00:00.000Z,-0.014154048714802858,-0.014154048714802858,0.0,True,2015-11-10T00:00:00.000Z,-0.01152073732722203,-0.02567478604202489,0.0,True,2015-11-12T00:00:00.000Z,-0.014154048714802858,-0.02567478604202489,0.0,True,2015-11-19T00:00:00.000Z,0.004279131007798753,-0.12113232389546813,0.0055957867039728715,True,2015-12-04T00:00:00.000Z,0.007899934167510114,-0.12113232389546813,0.028920342330901017,True
XLRE,2015-11-06T00:00:00.000Z,20.6787711188,-0.0069628647205411,175.8882298834,171.5093060514105,True,discovery,False,True,True,False,True,False,2015-11-06T00:00:00.000Z,2015-11-09T00:00:00.000Z,20.7547889051,2015-11-09T00:00:00.000Z,-0.011646667841589187,-0.015306003638608012,0.0014471009769037035,True,2015-11-11T00:00:00.000Z,0.002455081655274194,-0.015306003638608012,0.006650011143504608,True,2015-11-13T00:00:00.000Z,-0.016636671202912234,-0.01676973795741543,0.006650011143504608,True,2015-11-20T00:00:00.000Z,0.023283355678036077,-0.11177940193021796,0.023616022569111994,True,2015-12-07T00:00:00.000Z,0.018626019207788946,-0.11177940193021796,0.03987012684560054,True
XLRE,2015-11-09T00:00:00.000Z,20.5130647726,-0.0210840892419871,174.2469190351,171.5327556709245,True,discovery,False,True,True,False,True,False,2015-11-09T00:00:00.000Z,2015-11-10T00:00:00.000Z,20.7892420163,2015-11-10T00:00:00.000Z,-0.002656924613061551,-0.008635004982829653,0.0,True,2015-11-12T00:00:00.000Z,-0.0053138492213128385,-0.008635004982829653,0.0049817336398698675,True,2015-11-16T00:00:00.000Z,-0.019262703420645177,-0.019262703420645177,0.0049817336398698675,True,2015-11-23T00:00:00.000Z,0.026901361673576485,-0.11325141149225182,0.029956824972825036,True,2015-12-08T00:00:00.000Z,0.020259050145732926,-0.11325141149225182,0.038146795081716034,True
XLRE,2015-11-10T00:00:00.000Z,20.7340065675,-0.004310344828145,174.6488727123,171.5693978151355,True,discovery,False,True,True,False,True,False,2015-11-10T00:00:00.000Z,2015-11-11T00:00:00.000Z,20.7857898007,2015-11-11T00:00:00.000Z,0.0009599734285452577,-0.0038199634587533504,0.005148646403438262,True,2015-11-13T00:00:00.000Z,-0.018103305099685496,-0.018236173392229493,0.005148646403438262,True,2015-11-17T00:00:00.000Z,-0.0038199634587533504,-0.019099817303388278,0.005148646403438262,True,2015-11-24T00:00:00.000Z,0.011459890385881577,-0.11310413552439702,0.030393622323589664,True,2015-12-09T00:00:00.000Z,0.014781597742783426,-0.11310413552439702,0.03831921607680133,True
XLRE,2015-11-11T00:00:00.000Z,20.8057436066,-0.0008653846130513,173.9622018472,171.61333544871349,True,discovery,False,True,True,False,True,False,2015-11-11T00:00:00.000Z,2015-11-12T00:00:00.000Z,20.616631239,2015-11-12T00:00:00.000Z,0.0030140656385437836,0.0,0.007367716007485203,True,2015-11-16T00:00:00.000Z,-0.011051574011227805,-0.011051574011227805,0.007367716007485203,True,2015-11-18T00:00:00.000Z,0.01623576691165729,-0.10582719357043846,0.01623576691165729,True,2015-11-25T00:00:00.000Z,0.019758874749110422,-0.10582719357043846,0.03884795713302225,True,2015-12-10T00:00:00.000Z,0.014735432014970407,-0.10582719357043846,0.04683858003791119,True
XLRE,2015-11-12T00:00:00.000Z,20.6787711188,-0.0039906883938903,171.5337317145,171.637496746693,True,discovery,False,False,True,False,False,False,2015-11-12T00:00:00.000Z,2015-11-13T00:00:00.000Z,20.5890135146,2015-11-13T00:00:00.000Z,-0.008718980551093658,-0.008853118711624752,0.0016767270309245852,True,2015-11-17T00:00:00.000Z,0.005700871900286231,-0.009725016764791428,0.012072434608085603,True,2015-11-19T00:00:00.000Z,0.023138832997616543,-0.10462776659855211,0.024480214622356167,True,2015-11-27T00:00:00.000Z,0.021126760565364,-0.10462776659855211,0.040241448693618675,True,2015-12-11T00:00:00.000Z,0.010670690810135719,-0.10462776659855211,0.0482427900732425,True
XLRE,2015-11-13T00:00:00.000Z,20.4094983062,-0.0353110110310551,169.6077036783,171.66250915948353,True,discovery,False,False,True,False,False,False,2015-11-13T00:00:00.000Z,2015-11-16T00:00:00.000Z,20.388785013,2015-11-16T00:00:00.000Z,0.0,0.0,0.003047748051704824,True,2015-11-18T00:00:00.000Z,0.02759227903679884,-0.09583474432900974,0.02759227903679884,True,2015-11-20T00:00:00.000Z,0.04165255671971235,-0.09583474432900974,0.04199119539266882,True,2015-11-30T00:00:00.000Z,0.04131391804675566,-0.09583474432900974,0.050457162206774875,True,2015-12-14T00:00:00.000Z,0.023745343716720324,-0.09583474432900974,0.058537080931454044,True
XLRE,2015-11-16T00:00:00.000Z,20.388785013,-0.0474162819866866,172.1869064398,171.6902251845735,True,discovery,False,True,True,False,True,False,2015-11-16T00:00:00.000Z,2015-11-17T00:00:00.000Z,20.7132932743,2015-11-17T00:00:00.000Z,-0.0003333333337469657,-0.002333333336228427,0.005999999997788885,True,2015-11-19T00:00:00.000Z,0.016999999996953674,-0.11000000000130361,0.018333333331941315,True,2015-11-23T00:00:00.000Z,0.030666666666093745,-0.11000000000130361,0.033733333330771886,True,2015-12-01T00:00:00.000Z,0.04195333333006013,-0.11000000000130361,0.04195333333006013,True,2015-12-15T00:00:00.000Z,0.019333333333182212,-0.11000000000130361,0.04195333333006013,True
XLRE,2015-11-17T00:00:00.000Z,20.7063888432,-0.0335159523038262,172.0612959157,171.70526384028005,True,discovery,False,True,True,False,True,False,2015-11-17T00:00:00.000Z,2015-11-18T00:00:00.000Z,20.464733755,2015-11-18T00:00:00.000Z,0.023778677461714137,-0.0991902834017594,0.023778677461714137,True,2015-11-20T00:00:00.000Z,0.03778677462691471,-0.0991902834017594,0.038124156543662746,True,2015-11-24T00:00:00.000Z,0.02732793522238519,-0.0991902834017594,0.04655870445259058,True,2015-12-02T00:00:00.000Z,0.03306342779732874,-0.0991902834017594,0.05460863697417784,True,2015-12-16T00:00:00.000Z,0.050269905531932446,-0.0991902834017594,0.05460863697417784,True
XLRE,2015-11-18T00:00:00.000Z,20.9513580583,-0.0228691032034081,174.7912313062,171.737170826047,True,discovery,False,True,True,False,True,False,2015-11-18T00:00:00.000Z,2015-11-19T00:00:00.000Z,20.996374949,2015-11-19T00:00:00.000Z,0.0032883919756485636,0.0,0.0046037487678129985,True,2015-11-23T00:00:00.000Z,0.016770799081046617,0.0,0.019796119697309766,True,2015-11-25T00:00:00.000Z,0.001315356792164435,0.0,0.02005919105669518,True,2015-12-03T00:00:00.000Z,-0.013153567902594254,-0.013153567902594254,0.027905294310240247,True,2015-12-17T00:00:00.000Z,0.02236106543822025,-0.0161131206849644,0.03452811575145409,True
