ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition,momentum_signal,positive_regime,group_A,group_B,group_C,group_D,signal_date,entry_date,entry_open,exit_date_1d,return_1d,mae_1d,mfe_1d,horizon_1d_available,exit_date_3d,return_3d,mae_3d,mfe_3d,horizon_3d_available,exit_date_5d,return_5d,mae_5d,mfe_5d,horizon_5d_available,exit_date_10d,return_10d,mae_10d,mfe_10d,horizon_10d_available,exit_date_20d,return_20d,mae_20d,mfe_20d,horizon_20d_available
XLU,1999-01-22T00:00:00.000Z,5.8417406028,0.022803487579573,75.9222532054,68.79354290947,True,discovery,False,True,True,False,True,False,1999-01-22T00:00:00.000Z,1999-01-25T00:00:00.000Z,5.8417406028,1999-01-25T00:00:00.000Z,-0.037377049178689004,-0.037377049178689004,0.0,True,1999-01-27T00:00:00.000Z,-0.03344262294124467,-0.04163934425356208,0.0,True,1999-01-29T00:00:00.000Z,-0.03344262294124467,-0.04262295081720269,0.0,True,1999-02-05T00:00:00.000Z,-0.05672131146000914,-0.06032786884290653,0.0,True,1999-02-22T00:00:00.000Z,-0.022950819664217526,-0.07475409835737801,0.0,True
XLU,1999-01-25T00:00:00.000Z,5.623393577,-0.0114478114503447,76.6965750127,68.838755908347,True,discovery,False,True,True,False,True,False,1999-01-25T00:00:00.000Z,1999-01-26T00:00:00.000Z,5.686599295,1999-01-26T00:00:00.000Z,0.008420343550863851,-0.015493432125148532,0.008420343550863851,True,1999-01-28T00:00:00.000Z,-0.005389019871146039,-0.015493432125148532,0.008420343550863851,True,1999-02-01T00:00:00.000Z,-0.00909397102156817,-0.016503873357582854,0.008420343550863851,True,1999-02-08T00:00:00.000Z,-0.030986864250297064,-0.03469181541830446,0.008420343550863851,True,1999-02-23T00:00:00.000Z,-0.027955540588164407,-0.04951162007274856,0.008420343550863851,True
XLU,1999-01-26T00:00:00.000Z,5.7344824147,-0.010247933880526,78.0903542659,68.888254642999,True,discovery,False,True,True,False,True,False,1999-01-26T00:00:00.000Z,1999-01-27T00:00:00.000Z,5.7191598164,1999-01-27T00:00:00.000Z,-0.012726054916544327,-0.012726054916544327,0.0,True,1999-01-29T00:00:00.000Z,-0.012726054916544327,-0.02210314802490898,0.0026791694570349467,True,1999-02-02T00:00:00.000Z,-0.02779638312329369,-0.04018754185552309,0.0026791694570349467,True,1999-02-09T00:00:00.000Z,-0.0324849296687334,-0.04018754185552309,0.0026791694570349467,True,1999-02-24T00:00:00.000Z,-0.02444742129762878,-0.054922973877957304,0.0026791694570349467,True
XLU,1999-01-27T00:00:00.000Z,5.6463774745,-0.0202725157762587,77.1804933111,68.934162344481,True,discovery,False,True,True,False,True,False,1999-01-27T00:00:00.000Z,1999-01-28T00:00:00.000Z,5.6617000728,1999-01-28T00:00:00.000Z,-0.0010148849861556508,-0.0010148849861556508,0.012855209736323037,True,1999-02-01T00:00:00.000Z,-0.004736129900067221,-0.012178619763215437,0.012855209736323037,True,1999-02-03T00:00:00.000Z,-0.012516914758600617,-0.030446549390376054,0.012855209736323037,True,1999-02-10T00:00:00.000Z,-0.029431664421883164,-0.030446549390376054,0.012855209736323037,True,1999-02-25T00:00:00.000Z,-0.03585926928121341,-0.04533152909901006,0.012855209736323037,True
XLU,1999-01-28T00:00:00.000Z,5.6559540984,-0.0346518470075486,78.4775151695,68.983680340443,True,discovery,False,True,True,False,True,False,1999-01-28T00:00:00.000Z,1999-01-29T00:00:00.000Z,5.6559540984,1999-01-29T00:00:00.000Z,-0.001693193355778555,-0.011175076194108402,0.004402302753313325,True,1999-02-02T00:00:00.000Z,-0.016931933628508533,-0.029461564503703852,0.004402302753313325,True,1999-02-04T00:00:00.000Z,-0.026413816449157745,-0.029461564503703852,0.004402302753313325,True,1999-02-11T00:00:00.000Z,-0.02438198441868733,-0.029461564503703852,0.004402302753313325,True,1999-02-26T00:00:00.000Z,-0.029122925829011992,-0.04436166610174197,0.009143244163637876,True
XLU,1999-01-29T00:00:00.000Z,5.6463774745,-0.0283454185805068,79.0775817389,69.03524039764801,True,discovery,False,True,True,False,True,False,1999-01-29T00:00:00.000Z,1999-02-01T00:00:00.000Z,5.6808533207,1999-02-01T00:00:00.000Z,-0.008091705999959897,-0.013823331085465074,0.0,True,1999-02-03T00:00:00.000Z,-0.01584625759865721,-0.03371544167530083,0.0,True,1999-02-05T00:00:00.000Z,-0.030006743085384868,-0.03371544167530083,0.0,True,1999-02-12T00:00:00.000Z,-0.044504383008580506,-0.04855023601736208,0.0,True,1999-03-01T00:00:00.000Z,-0.04753877276076601,-0.05327039784627119,0.0047201618289092195,True
XLU,1999-02-01T00:00:00.000Z,5.6348855258,-0.0267945749231596,78.6129886545,69.0885022301675,True,discovery,False,True,True,False,True,False,1999-02-01T00:00:00.000Z,1999-02-02T00:00:00.000Z,5.5640185086,1999-02-02T00:00:00.000Z,-0.0006884681627279399,-0.013425129083331488,0.002065404470211085,True,1999-02-04T00:00:00.000Z,-0.010327022369028382,-0.013425129083331488,0.00585197934724202,True,1999-02-08T00:00:00.000Z,-0.009638554206300554,-0.013425129083331488,0.00585197934724202,True,1999-02-16T00:00:00.000Z,-0.006540447509970071,-0.028571428573482605,0.00585197934724202,True,1999-03-02T00:00:00.000Z,-0.04199655765681398,-0.04199655765681398,0.025817555940543357,True
XLU,1999-02-02T00:00:00.000Z,5.560187859,-0.0242016806856244,78.1290703562,69.13484075718,True,discovery,False,True,True,False,True,False,1999-02-02T00:00:00.000Z,1999-02-03T00:00:00.000Z,5.5314579872,1999-02-03T00:00:00.000Z,0.01073407201815435,0.0,0.011772853188199761,True,1999-02-05T00:00:00.000Z,-0.003808864254009281,-0.004501385034039296,0.011772853188199761,True,1999-02-09T00:00:00.000Z,0.00034626039001528497,-0.005540166204084596,0.011772853188199761,True,1999-02-17T00:00:00.000Z,-0.0076177285260968786,-0.022853185596369063,0.01281163435824495,True,1999-03-03T00:00:00.000Z,-0.03601108032655076,-0.03635734071656571,0.031855955682526416,True
XLU,1999-02-03T00:00:00.000Z,5.5908330556,-0.0305546330159912,78.9227173775,69.1852431839365,True,discovery,False,True,True,False,True,False,1999-02-03T00:00:00.000Z,1999-02-04T00:00:00.000Z,5.5812564317,1999-02-04T00:00:00.000Z,-0.01338366506074462,-0.01338366506074462,0.0,True,1999-02-08T00:00:00.000Z,-0.01269732325816375,-0.014413177764616147,0.0,True,1999-02-10T00:00:00.000Z,-0.015442690468487896,-0.016129032253151654,0.0006863418025810919,True,1999-02-18T00:00:00.000Z,0.0010295127038715268,-0.03157172272163966,0.01441317776461637,True,1999-03-04T00:00:00.000Z,-0.02951269733181361,-0.04495538778238428,0.02264927934183736,True
XLU,1999-02-04T00:00:00.000Z,5.506558765,-0.0548980933487707,77.7419094526,69.228112671865,True,discovery,False,True,True,False,True,False,1999-02-04T00:00:00.000Z,1999-02-05T00:00:00.000Z,5.5276273376,1999-02-05T00:00:00.000Z,-0.0031185031021799814,-0.0031185031021799814,0.00554400554312795,True,1999-02-09T00:00:00.000Z,0.0010395010461206056,-0.004851004845714213,0.010395010406933025,True,1999-02-11T00:00:00.000Z,-0.0017325017254433694,-0.006583506571157582,0.010395010406933025,True,1999-02-19T00:00:00.000Z,0.0,-0.02217602217251191,0.02425502426475301,True,1999-03-05T00:00:00.000Z,-0.0031185031021799814,-0.03568953568162481,0.032571032579444825,True
XLU,1999-02-05T00:00:00.000Z,5.5103894146,-0.0508083140834236,76.8514393742,69.2655715377975,True,discovery,False,True,True,False,True,False,1999-02-05T00:00:00.000Z,1999-02-08T00:00:00.000Z,5.5123047393,1999-02-08T00:00:00.000Z,-0.00034746350040215646,-0.002084781093118493,0.006601806816039835,True,1999-02-10T00:00:00.000Z,-0.003127171648748428,-0.003822098667693674,0.013203613632079891,True,1999-02-12T00:00:00.000Z,-0.015288394707057118,-0.01945795691143537,0.013203613632079891,True,1999-02-22T00:00:00.000Z,0.035441278673720156,-0.01945795691143537,0.035441278673720156,True,1999-03-08T00:00:00.000Z,-0.0118137595397656,-0.033009034043917196,0.035441278673720156,True
XLU,1999-02-08T00:00:00.000Z,5.5103894146,-0.0561023622015379,77.0063037357,69.30715851362851,True,discovery,False,True,True,False,True,False,1999-02-08T00:00:00.000Z,1999-02-09T00:00:00.000Z,5.5218813633,1999-02-09T00:00:00.000Z,0.0020811654477725927,-0.0020811654477728148,0.01144640998991453,True,1999-02-11T00:00:00.000Z,-0.0006937218219608132,-0.005549774539467034,0.01144640998991453,True,1999-02-16T00:00:00.000Z,0.0010405827148314284,-0.02115851544303682,0.01144640998991453,True,1999-02-23T00:00:00.000Z,0.0010405827148314284,-0.02115851544303682,0.033645508147782666,True,1999-03-09T00:00:00.000Z,-0.01630246270742086,-0.03468609088072405,0.033645508147782666,True
XLU,1999-02-09T00:00:00.000Z,5.533373312,-0.0262891809995294,75.2834048832,69.3437724272915,True,discovery,False,True,True,False,True,False,1999-02-09T00:00:00.000Z,1999-02-10T00:00:00.000Z,5.533373312,1999-02-10T00:00:00.000Z,-0.006922810669023005,-0.00761509172146746,0.003115264799252948,True,1999-02-12T00:00:00.000Z,-0.019037729312704643,-0.023191415717732866,0.003115264799252948,True,1999-02-17T00:00:00.000Z,-0.007961232256725848,-0.023191415717732866,0.012461059197012236,True,1999-02-24T00:00:00.000Z,0.008307372791984236,-0.023191415717732866,0.03149878850971688,True,1999-03-10T00:00:00.000Z,-0.021460713041441037,-0.036690896502448056,0.03149878850971688,True
XLU,1999-02-10T00:00:00.000Z,5.4950668162,-0.0336813742034552,75.767388844,69.389226843028,True,discovery,False,True,True,False,True,False,1999-02-10T00:00:00.000Z,1999-02-11T00:00:00.000Z,5.5103894146,1999-02-11T00:00:00.000Z,0.0013903371474439652,-0.003475842895830916,0.006951685773514571,True,1999-02-16T00:00:00.000Z,0.003128258586285737,-0.019117135917996908,0.006951685773514571,True,1999-02-18T00:00:00.000Z,0.013903371565176625,-0.019117135917996908,0.027459158838955666,True,1999-02-25T00:00:00.000Z,-0.00938477581329955,-0.019117135917996908,0.035801181778061464,True,1999-03-11T00:00:00.000Z,-0.010079944396095164,-0.032672923191775616,0.035801181778061464,True
XLU,1999-02-11T00:00:00.000Z,5.5180507137,-0.0361324857838567,77.5096129104,69.44387135237551,True,discovery,False,True,True,False,True,False,1999-02-11T00:00:00.000Z,1999-02-12T00:00:00.000Z,5.5448652607,1999-02-12T00:00:00.000Z,-0.021070811734251182,-0.025215889462812502,0.0,True,1999-02-17T00:00:00.000Z,-0.010017271148801243,-0.025215889462812502,0.010362694312385567,True,1999-02-19T00:00:00.000Z,-0.0031088082919121796,-0.025215889462812502,0.0210708117522862,True,1999-02-26T00:00:00.000Z,-0.009671848003251493,-0.025215889462812502,0.029360967191373488,True,1999-03-12T00:00:00.000Z,-0.00518134714717533,-0.03868739204907545,0.029360967191373488,True
XLU,1999-02-12T00:00:00.000Z,5.4280304487,-0.0357264375600676,76.5804267416,69.4915700790295,True,discovery,False,True,True,False,True,False,1999-02-12T00:00:00.000Z,1999-02-16T00:00:00.000Z,5.5008127906,1999-02-16T00:00:00.000Z,0.004874651805242491,-0.0027855153198784732,0.004874651805242491,True,1999-02-18T00:00:00.000Z,0.015668523685678615,-0.0027855153198784732,0.029247910867814086,True,1999-02-22T00:00:00.000Z,0.037604456827449395,-0.0027855153198784732,0.037604456827449395,True,1999-03-01T00:00:00.000Z,-0.016364902502014056,-0.02228412255902823,0.037604456827449395,True,1999-03-15T00:00:00.000Z,0.0055710306397569465,-0.030988857935920877,0.037604456827449395,True
XLU,1999-02-16T00:00:00.000Z,5.5276273376,-0.0226887910629086,76.1158336573,69.53071723735951,True,discovery,False,True,True,False,True,False,1999-02-16T00:00:00.000Z,1999-02-17T00:00:00.000Z,5.5123047393,1999-02-17T00:00:00.000Z,-0.004169562186236986,-0.004169562186236986,0.016330785280828097,True,1999-02-19T00:00:00.000Z,0.0027797081302050053,-0.004169562186236986,0.02710215428310514,True,1999-02-23T00:00:00.000Z,0.0027797081302050053,-0.004169562186236986,0.035441278673720156,True,1999-03-02T00:00:00.000Z,-0.033009034043917196,-0.033009034043917196,0.035441278673720156,True,1999-03-16T00:00:00.000Z,-0.00034746350040215646,-0.033009034043917196,0.035441278673720156,True
XLU,1999-02-17T00:00:00.000Z,5.4893208419,-0.0612512282963637,76.0384014765,69.5656441483695,True,discovery,False,True,True,False,True,False,1999-02-17T00:00:00.000Z,1999-02-18T00:00:00.000Z,5.5123047393,1999-02-18T00:00:00.000Z,0.013551077150623092,-0.004169562186236986,0.02710215428310514,True,1999-02-22T00:00:00.000Z,0.035441278673720156,-0.004169562186236986,0.035441278673720156,True,1999-02-24T00:00:00.000Z,0.012161223076450067,-0.004169562186236986,0.035441278673720156,True,1999-03-03T00:00:00.000Z,-0.032661570525373995,-0.033009034043917196,0.035441278673720156,True,1999-03-17T00:00:00.000Z,-0.009728978446647107,-0.033009034043917196,0.035441278673720156,True
XLU,1999-02-18T00:00:00.000Z,5.5870024061,-0.0407760605079084,76.6384680459,69.6044336741475,True,discovery,False,True,True,False,True,False,1999-02-18T00:00:00.000Z,1999-02-19T00:00:00.000Z,5.5582725342,1999-02-19T00:00:00.000Z,-0.005513439006713083,-0.009303928312583754,0.004824259144367238,True,1999-02-23T00:00:00.000Z,-0.005513439006713083,-0.009303928312583754,0.02687801517121935,True,1999-02-25T00:00:00.000Z,-0.017918676762821883,-0.022053756026852223,0.02687801517121935,True,1999-03-04T00:00:00.000Z,-0.025499655410545663,-0.04100620261017929,0.02687801517121935,True,1999-03-18T00:00:00.000Z,-0.0034458993657022763,-0.04100620261017929,0.02687801517121935,True
XLU,1999-02-19T00:00:00.000Z,5.5276273376,-0.0475247524844943,76.9675876453,69.647264639455,True,discovery,False,True,True,False,True,False,1999-02-19T00:00:00.000Z,1999-02-22T00:00:00.000Z,5.5486959103,1999-02-22T00:00:00.000Z,0.028650327927486785,0.0,0.028650327927486785,True,1999-02-24T00:00:00.000Z,0.005522954779899392,-0.007594062817856129,0.028650327927486785,True,1999-02-26T00:00:00.000Z,-0.010355540207805936,-0.024162927157554637,0.028650327927486785,True,1999-03-05T00:00:00.000Z,-0.006903693465863281,-0.039351052811289255,0.028650327927486785,True,1999-03-19T00:00:00.000Z,-0.020053296504039975,-0.039351052811289255,0.028650327927486785,True
XLU,1999-02-22T00:00:00.000Z,5.7076678677,-0.0229508196642175,79.0195404346,69.7043801094455,True,discovery,False,True,True,False,True,False,1999-02-22T00:00:00.000Z,1999-02-23T00:00:00.000Z,5.6559540984,1999-02-23T00:00:00.000Z,-0.022688791062908664,-0.026413816449157745,0.0,True,1999-02-25T00:00:00.000Z,-0.034879783263412234,-0.03894344734203359,0.0010159160240756915,True,1999-03-01T00:00:00.000Z,-0.0433457500776665,-0.04910260751206663,0.0010159160240756915,True,1999-03-08T00:00:00.000Z,-0.03691161529388265,-0.0575685743263209,0.0010159160240756915,True,1999-03-22T00:00:00.000Z,-0.03522768670565479,-0.0575685743263209,0.0010159160240756915,True
XLU,1999-02-23T00:00:00.000Z,5.5276273376,-0.0170299727537637,78.9808243443,69.76398515947551,True,discovery,False,True,True,False,True,False,1999-02-23T00:00:00.000Z,1999-02-24T00:00:00.000Z,5.5448652607,1999-02-24T00:00:00.000Z,0.006217616583824359,0.0,0.0210708117522862,True,1999-02-26T00:00:00.000Z,-0.009671848003251493,-0.023488773735064195,0.0210708117522862,True,1999-03-02T00:00:00.000Z,-0.03868739204907545,-0.03868739204907545,0.0210708117522862,True,1999-03-09T00:00:00.000Z,-0.020379965443152015,-0.03868739204907545,0.0210708117522862,True,1999-03-23T00:00:00.000Z,-0.04684767701049719,-0.05310697720413582,0.0210708117522862,True
XLU,1999-02-24T00:00:00.000Z,5.5793411069,-0.0270541082142486,77.5870450911,69.8111590025745,True,discovery,False,True,True,False,True,False,1999-02-24T00:00:00.000Z,1999-02-25T00:00:00.000Z,5.5429499359,1999-02-25T00:00:00.000Z,-0.015203870064599001,-0.019350380093697384,0.0010366275117847934,True,1999-03-01T00:00:00.000Z,-0.02384243260868313,-0.029716655139382042,0.0010366275117847934,True,1999-03-03T00:00:00.000Z,-0.03800967517953813,-0.03835521768346628,0.0010366275117847934,True,1999-03-10T00:00:00.000Z,-0.0231513476008266,-0.03835521768346628,0.0010366275117847934,True,1999-03-24T00:00:00.000Z,-0.03364753722418712,-0.05277978541808681,0.002073255023569587,True
