ticker,date,etf_close,etf_momentum_20d,spy_close,spy_200dma,eligible,research_partition
QQQ,1999-04-08T00:00:00.000Z,46.7825960785,0.0861900097932368,83.7359493887,71.61534961481401,True,discovery
QQQ,1999-04-09T00:00:00.000Z,47.0778874875,0.0877192982471948,83.7553837426,71.689872124996,True,discovery
QQQ,1999-04-12T00:00:00.000Z,46.7825960785,0.1078921078931109,84.6480500198,71.7642435517535,True,discovery
QQQ,1999-04-13T00:00:00.000Z,46.1498287736,0.0621359223315003,84.104687938,71.8364749699535,True,discovery
QQQ,1999-04-14T00:00:00.000Z,44.5468182677,0.0163618864285453,82.6880368025,71.900180964805,True,discovery
QQQ,1999-04-15T00:00:00.000Z,45.1795855726,0.0387972841892547,82.3775441843,71.96108492226399,True,discovery
QQQ,1999-04-16T00:00:00.000Z,43.8296819888,-0.0114176974298699,81.6789357935,72.020899015773,True,discovery
QQQ,1999-04-19T00:00:00.000Z,41.7879528182,-0.0326171874985414,80.4175880977,72.070368757844,True,discovery
QQQ,1999-04-20T00:00:00.000Z,42.7328853269,0.000988142292585,81.4266891066,72.12421123250901,True,discovery
QQQ,1999-04-21T00:00:00.000Z,44.8421096767,0.0888046706968237,83.7553837426,72.186140072562,True,discovery
QQQ,1999-04-22T00:00:00.000Z,46.0654597996,0.082259663033581,84.5509925113,72.2527200549945,True,discovery
QQQ,1999-04-23T00:00:00.000Z,46.6560426175,0.0573613766740974,84.3375574016,72.31563709050499,True,discovery
QQQ,1999-04-26T00:00:00.000Z,47.7528392794,0.093719806763139,84.8226735522,72.383383210858,True,discovery
QQQ,1999-04-27T00:00:00.000Z,46.9935185135,0.0382106244190261,85.2302236788,72.4512444090065,True,discovery
QQQ,1999-04-28T00:00:00.000Z,45.3905080076,0.0103286384964151,84.0658763608,72.5131875738805,True,discovery
QQQ,1999-04-29T00:00:00.000Z,45.0530321117,0.0181124880856495,83.4254567705,72.567891027844,True,discovery
QQQ,1999-04-30T00:00:00.000Z,45.3061390336,0.0028011204484521,82.7462827337,72.6198717101595,True,discovery
QQQ,1999-05-03T00:00:00.000Z,45.0952165987,-0.0369369369362154,84.2599342471,72.676921175353,True,discovery
QQQ,1999-05-04T00:00:00.000Z,44.3780803197,-0.0539568345332867,83.0567753518,72.727474014818,True,discovery
QQQ,1999-05-05T00:00:00.000Z,45.7279839036,-0.0154405086278625,83.7165721654,72.78132583835101,True,discovery
QQQ,1999-05-06T00:00:00.000Z,44.0406044238,-0.0586113615862404,83.2022715717,72.8389509792795,True,discovery
QQQ,1999-05-07T00:00:00.000Z,44.6733717287,-0.0510752688178381,83.8330068972,72.8997297968355,True,discovery
QQQ,1999-05-10T00:00:00.000Z,45.1374010857,-0.0351668169513168,83.415763191,72.9655362853595,True,discovery
QQQ,1999-05-11T00:00:00.000Z,45.8545373646,-0.006398537477758,84.2599342471,73.0358521931325,True,discovery
QQQ,1999-05-12T00:00:00.000Z,46.7825960785,0.050189393939749,84.9197310606,73.106967610284,True,discovery
QQQ,1999-05-13T00:00:00.000Z,45.9389063386,0.0168067226907124,85.2884124794,73.185886720326,True,discovery
QQQ,1999-05-14T00:00:00.000Z,45.0530321117,0.0279114533208935,83.0761525751,73.255090401833,True,discovery
QQQ,1999-05-17T00:00:00.000Z,45.8545373646,0.0973147587318246,83.3284563927,73.3203643857665,True,discovery
QQQ,1999-05-18T00:00:00.000Z,45.6857994166,0.0691016781832225,83.1732100836,73.392360562221,True,discovery
QQQ,1999-05-19T00:00:00.000Z,46.3185667215,0.0329256820306822,83.7747609659,73.4688063346725,True,discovery
QQQ,1999-05-20T00:00:00.000Z,45.0108476247,-0.0228937728937888,83.2702104615,73.5559957971815,True,discovery
QQQ,1999-05-21T00:00:00.000Z,44.6311872417,-0.0433996383362464,82.8044715343,73.636338446929,True,discovery
QQQ,1999-05-24T00:00:00.000Z,43.4922060928,-0.0892226148412077,81.4266891066,73.708350016867,True,discovery
QQQ,1999-05-25T00:00:00.000Z,42.0537150862,-0.1051166965904228,80.1070954795,73.773186816818,True,discovery
QQQ,1999-05-26T00:00:00.000Z,43.2390991708,-0.0473977695169168,80.9997617567,73.844409620993,True,discovery
QQQ,1999-05-27T00:00:00.000Z,43.1969146838,-0.0411985018743715,79.8354144386,73.91480963795499,True,discovery
QQQ,1999-05-28T00:00:00.000Z,43.9140509628,-0.0307262569818098,80.8541990914,73.984727826952,True,discovery
QQQ,1999-06-01T00:00:00.000Z,42.9438077619,-0.0477081384472609,80.5728344067,74.05727680548449,True,discovery
QQQ,1999-06-02T00:00:00.000Z,43.6609440408,-0.0161596958168028,80.6504575613,74.13405924546501,True,discovery
QQQ,1999-06-03T00:00:00.000Z,43.0281767359,-0.0590405904050245,81.0967621345,74.2061515860965,True,discovery
QQQ,1999-06-04T00:00:00.000Z,44.3358958327,0.0067049808412806,82.7268483797,74.2802418048735,True,discovery
QQQ,1999-06-07T00:00:00.000Z,45.2639545466,0.0132200188847753,82.94034062,74.35626485067151,True,discovery
QQQ,1999-06-08T00:00:00.000Z,44.1249733977,-0.0224299065441927,82.1252974974,74.4302313242935,True,discovery
QQQ,1999-06-09T00:00:00.000Z,44.8842941637,-0.0211591536337042,82.0476743429,74.5065014241155,True,discovery
QQQ,1999-06-10T00:00:00.000Z,44.3780803197,-0.0513976555462053,81.2908200208,74.5768723122055,True,discovery
QQQ,1999-06-11T00:00:00.000Z,43.4922060928,-0.0532598714424372,80.611645984,74.6430782609765,True,discovery
QQQ,1999-06-14T00:00:00.000Z,42.8594387879,-0.0486891385769868,80.6892691385,74.7115949983575,True,discovery
QQQ,1999-06-15T00:00:00.000Z,43.4922060928,-0.0515179392830105,81.2326312203,74.79859446341601,True,discovery
QQQ,1999-06-16T00:00:00.000Z,45.7279839036,0.0009233610342533,82.785094311,74.8945098476305,True,discovery
QQQ,1999-06-17T00:00:00.000Z,46.2341977475,-0.0018214936249493,83.5613258563,75.0169939290555,True,discovery
QQQ,1999-06-18T00:00:00.000Z,46.4451201825,0.0318650421729214,83.6575599384,75.12746180744651,True,discovery
QQQ,1999-06-21T00:00:00.000Z,47.8372082534,0.0718336483933939,83.852202935,75.2411141376265,True,discovery
QQQ,1999-06-22T00:00:00.000Z,46.4029356955,0.0669253152274991,83.2682739452,75.35425000086201,True,discovery
QQQ,1999-06-23T00:00:00.000Z,47.1200719745,0.1204734677522589,82.8594950009,75.4678414440645,True,discovery
QQQ,1999-06-24T00:00:00.000Z,46.1920132605,0.0682926829265244,82.2366374117,75.562168147485,True,discovery
QQQ,1999-06-25T00:00:00.000Z,46.1498287736,0.0683593750020163,82.0322716082,75.6631637132385,True,discovery
QQQ,1999-06-28T00:00:00.000Z,47.2466254354,0.0758885686821071,83.0347023492,75.77532398577749,True,discovery
QQQ,1999-06-29T00:00:00.000Z,47.8793927404,0.1149312377203515,83.8132743356,75.8815714867765,True,discovery
QQQ,1999-06-30T00:00:00.000Z,48.6387135063,0.1140096618352641,85.3314897091,75.990026580698,True,discovery
QQQ,1999-07-01T00:00:00.000Z,48.9340049153,0.1372549019599185,85.9737829464,76.0997704679685,True,discovery
QQQ,1999-07-02T00:00:00.000Z,49.5667722202,0.1179828734540189,86.8302121315,76.210912491908,True,discovery
QQQ,1999-07-06T00:00:00.000Z,49.2714808113,0.0885368126767225,86.8107764833,76.331186167227,True,discovery
QQQ,1999-07-07T00:00:00.000Z,49.3136652982,0.11759082217986,86.9275622812,76.4506525962245,True,discovery
QQQ,1999-07-08T00:00:00.000Z,49.9886170902,0.1137218045110333,86.9956399929,76.5706523562635,True,discovery
QQQ,1999-07-09T00:00:00.000Z,50.4948309341,0.1378326996196071,87.511491271,76.69062648555699,True,discovery
QQQ,1999-07-12T00:00:00.000Z,50.2417240122,0.1551891367616178,87.1222052778,76.7959199810045,True,discovery
QQQ,1999-07-13T00:00:00.000Z,49.9886170902,0.1663385826767451,86.8107764833,76.907759916767,True,discovery
QQQ,1999-07-14T00:00:00.000Z,50.8323068301,0.1687681862271672,87.2973553233,77.0224186316955,True,discovery
QQQ,1999-07-15T00:00:00.000Z,51.2963361871,0.1217712177129599,87.8520691779,77.1369567786515,True,discovery
QQQ,1999-07-16T00:00:00.000Z,51.802550031,0.1204379562052875,88.3289918567,77.2546513089335,True,discovery
QQQ,1999-07-19T00:00:00.000Z,51.2541517001,0.103542234333845,87.7450628669,77.37926626090099,True,discovery
QQQ,1999-07-20T00:00:00.000Z,49.2714808113,0.0299823633164892,85.9445678112,77.503947034292,True,discovery
QQQ,1999-07-21T00:00:00.000Z,49.5245877332,0.0672727272727859,85.8472743415,77.6222567582175,True,discovery
QQQ,1999-07-22T00:00:00.000Z,48.2590531234,0.0241718889885478,84.7183449612,77.7411923023245,True,discovery
QQQ,1999-07-23T00:00:00.000Z,48.3434220973,0.0465753424659609,84.5529177227,77.85959028757901,True,discovery
QQQ,1999-07-26T00:00:00.000Z,47.1622564615,0.0219378427787182,83.9300601336,77.97940796962399,True,discovery
QQQ,1999-07-27T00:00:00.000Z,48.0903151754,0.0178571428588814,84.6307749214,78.10436940032899,True,discovery
QQQ,1999-07-28T00:00:00.000Z,49.0183738893,0.0237885462557034,84.9032751166,78.224712115036,True,discovery
QQQ,1999-07-29T00:00:00.000Z,48.0059462014,-0.0130095403287762,83.7159241859,78.33468039798,True,discovery
QQQ,1999-07-30T00:00:00.000Z,47.7528392794,-0.0241379310347575,82.6843449554,78.440551804813,True,discovery
QQQ,1999-08-02T00:00:00.000Z,47.6262858184,-0.0391489361699689,82.878987952,78.5445022893835,True,discovery
QQQ,1999-08-03T00:00:00.000Z,47.2888099224,-0.0402397260292062,82.4897019588,78.62981698282151,True,discovery
QQQ,1999-08-04T00:00:00.000Z,46.4451201825,-0.0581693755342235,81.3607725785,78.709390394501,True,discovery
QQQ,1999-08-05T00:00:00.000Z,47.2044409485,-0.0556962025309922,82.1004159656,78.791504368218,True,discovery
QQQ,1999-08-06T00:00:00.000Z,46.6982271045,-0.0751879699241866,81.2050581812,78.8672121281825,True,discovery
QQQ,1999-08-09T00:00:00.000Z,46.0654597996,-0.0831234256926751,81.0298508328,78.94320150630351,True,discovery
QQQ,1999-08-10T00:00:00.000Z,45.6857994166,-0.086075949367352,80.1344930485,79.009794225801,True,discovery
QQQ,1999-08-11T00:00:00.000Z,47.1622564615,-0.072199170123572,81.1077080315,79.08549775483999,True,discovery
QQQ,1999-08-12T00:00:00.000Z,46.6138581305,-0.0912828947377639,81.0590566252,79.1585460821945,True,discovery
QQQ,1999-08-13T00:00:00.000Z,48.6387135063,-0.061074918566879,82.9373521995,79.2429153122505,True,discovery
QQQ,1999-08-16T00:00:00.000Z,49.0183738893,-0.0436213991772229,83.3072025445,79.32971262148101,True,discovery
QQQ,1999-08-17T00:00:00.000Z,49.2714808113,0.0,83.852202935,79.4112279832335,True,discovery
QQQ,1999-08-18T00:00:00.000Z,48.7230824803,-0.0161839863709293,83.2487809941,79.4878931180775,True,discovery
QQQ,1999-08-19T00:00:00.000Z,48.2590531234,0.0,82.5675591574,79.555363869247,True,discovery
QQQ,1999-08-20T00:00:00.000Z,48.6808979933,0.0069808027929998,83.4044953913,79.6295275538655,True,discovery
QQQ,1999-08-23T00:00:00.000Z,50.4526464471,0.0697674418586407,85.0005679634,79.708005694167,True,discovery
QQQ,1999-08-24T00:00:00.000Z,51.0432292651,0.0614035087715649,85.311996758,79.78331405122249,True,discovery
QQQ,1999-08-25T00:00:00.000Z,51.886919005,0.0585197934590433,86.1879188942,79.861940671687,True,discovery
QQQ,1999-08-26T00:00:00.000Z,51.0432292651,0.0632688927941893,85.1562823607,79.9379173617635,True,discovery
QQQ,1999-08-27T00:00:00.000Z,50.5370154211,0.0583038869251291,84.1247031302,80.0097008681025,True,discovery
QQQ,1999-08-30T00:00:00.000Z,49.8198791422,0.0460584588133581,82.5675591574,80.076013964374,True,discovery
QQQ,1999-08-31T00:00:00.000Z,50.3682774731,0.0651204281891075,82.2561303628,80.1411558016385,True,discovery
QQQ,1999-09-01T00:00:00.000Z,50.7057533691,0.0917347865579507,83.2682739452,80.2079820269775,True,discovery
QQQ,1999-09-02T00:00:00.000Z,50.5370154211,0.0705987488811876,82.2852794752,80.26728839283,True,discovery
QQQ,1999-09-03T00:00:00.000Z,52.8571622059,0.131887985546383,84.6891391689,80.338614057151,True,discovery
QQQ,1999-09-07T00:00:00.000Z,52.6462397709,0.1428571428555922,84.3777103743,80.406260210186,True,discovery
QQQ,1999-09-08T00:00:00.000Z,51.929103492,0.1366574330563534,83.9689887329,80.4687756752855,True,discovery
QQQ,1999-09-09T00:00:00.000Z,52.6462397709,0.1162790697658147,83.9300601336,80.528395302626,True,discovery
QQQ,1999-09-10T00:00:00.000Z,53.2790070759,0.1429864253402983,84.6307749214,80.5830290346525,True,discovery
QQQ,1999-09-13T00:00:00.000Z,52.6040552839,0.0815264527316574,84.0565587728,80.6371069957325,True,discovery
QQQ,1999-09-14T00:00:00.000Z,52.8993466929,0.0791738382094138,83.5018455411,80.688411390654,True,discovery
QQQ,1999-09-15T00:00:00.000Z,51.886919005,0.0530821917797967,82.1782731642,80.7303967289285,True,discovery
QQQ,1999-09-16T00:00:00.000Z,51.844734518,0.0640692640692872,82.4994148,80.7844066694655,True,discovery
QQQ,1999-09-17T00:00:00.000Z,53.4055605369,0.106643356643161,83.5390413506,80.8389841231625,True,discovery
QQQ,1999-09-20T00:00:00.000Z,53.5321139978,0.0996533795487437,83.421930545,80.89403737010349,True,discovery
QQQ,1999-09-21T00:00:00.000Z,52.266579388,0.0359531772590346,81.6652684605,80.946288523596,True,discovery
QQQ,1999-09-22T00:00:00.000Z,52.8149777189,0.0347107438010667,81.5773878873,80.9887424001805,True,discovery
QQQ,1999-09-23T00:00:00.000Z,50.6213843951,-0.0243902439028621,79.8695694408,81.02092070218501,True,discovery
QQQ,1999-09-24T00:00:00.000Z,50.7057533691,-0.0066115702485686,79.7914955704,81.05434880955849,True,discovery
QQQ,1999-09-27T00:00:00.000Z,51.0432292651,0.0100166944917892,80.3184654645,81.089736304097,True,discovery
QQQ,1999-09-28T00:00:00.000Z,51.2963361871,0.0296359017790022,80.1623177237,81.129697284838,True,discovery
QQQ,1999-09-29T00:00:00.000Z,50.2417240122,-0.0025125628123293,79.2059415422,81.1641527793575,True,discovery
QQQ,1999-09-30T00:00:00.000Z,50.7901223431,0.001663893510976,80.4160865337,81.215077892918,True,discovery
QQQ,1999-10-01T00:00:00.000Z,50.7901223431,0.0050083472458946,80.2403915941,81.25605623507799,True,discovery
QQQ,1999-10-04T00:00:00.000Z,51.929103492,-0.0175578611330823,81.6652684605,81.304641481393,True,discovery
QQQ,1999-10-05T00:00:00.000Z,52.308763875,-0.006410256408978,81.5871945901,81.3470962268735,True,discovery
QQQ,1999-10-06T00:00:00.000Z,53.3633760499,0.0276198212842428,82.8363765168,81.394249572799,True,discovery
QQQ,1999-10-07T00:00:00.000Z,53.2368225889,0.0112179487190353,82.3679332943,81.433930984795,True,discovery
QQQ,1999-10-08T00:00:00.000Z,53.7852209198,0.0095011876474886,83.617115221,81.4782127084275,True,discovery
QQQ,1999-10-11T00:00:00.000Z,54.5445416857,0.0368885324777212,83.4804572166,81.5139712978955,True,discovery
QQQ,1999-10-12T00:00:00.000Z,53.3211915629,0.0079744816594611,82.1922383546,81.5449340627375,True,discovery
QQQ,1999-10-13T00:00:00.000Z,51.718181057,-0.0032520325206385,80.0647541168,81.56622730865,True,discovery
QQQ,1999-10-14T00:00:00.000Z,52.055656953,0.0040683482510026,80.0452069181,81.581421824562,True,discovery
QQQ,1999-10-15T00:00:00.000Z,50.5370154211,-0.0537124802541488,77.9957965507,81.5894665758665,True,discovery
QQQ,1999-10-18T00:00:00.000Z,49.8620636292,-0.0685579196209368,78.5617990079,81.600341339457,True,discovery
QQQ,1999-10-19T00:00:00.000Z,50.1573550382,-0.0403551251009216,79.3230523478,81.61589364593651,True,discovery
QQQ,1999-10-20T00:00:00.000Z,51.67599657,-0.0215654952078567,80.1037910521,81.630993921615,True,discovery
QQQ,1999-10-21T00:00:00.000Z,52.5196863099,0.037499999999679,80.5722342746,81.6391445517185,True,discovery
